NUM;FNAME;GNAME;OCCU;DATE;DATE-UT;TZO;PLACE;CY;C2;GEOID;LG;LAT;NOTES-DATE
92;Carnus;Georges;sportsperson;1942-08-13 23:00;;;Gignac;FR;34;3016073;3.55;43.65;
93;Carr;Willie;sportsperson;1950-01-06 06:00;;;Possil Park;GB;;13273048;-4.25;55.88333;
94;Carre;Désir;sportsperson;1923-05-21 14:20;;;Le Mesnil-Bellanguet;FR;27;3003405;1.43333;49.25;
95;Caerrere;Christian;sportsperson;1943-07-27 06:00;;;Bout du Pont;FR;65;12314907;0.08333;43.23333;
96;Casolari;Georges;sportsperson;1941-05-05 04:00;;;Nice;FR;6;2990440;7.26667;43.7;
97;Cerdan;Marcel;sportsperson;1943-12-04 01:00;;;Roches Noires;MA;141;2537994;-7.58333;33.65;
98;Cester;Elie;sportsperson;1942-07-27 17:00;;;L'Isle-Jourdain;FR;32;2998130;1.08333;43.61667;
99;Charles-Alfred;Daniel;sportsperson;1934-05-09 05:00;;;Bellevue;MQ;;3570086;-61.08333;14.6;
100;Chauveau;Yves;sportsperson;1945-04-12 11:00;;;Bourg-en-Bresse;FR;1;3031009;5.21667;46.2;
101;Chiarelli;Bernard;sportsperson;1934-02-24 23:45;;;Valenciennes;FR;59;2971041;3.53333;50.36667;
102;Chiesa;Serge;sportsperson;1950-12-25 09:00;;;Roches Noires;MA;141;2537994;-7.58333;33.65;
103;Clark;Jim;sportsperson;1936-03-04 15:25;;;Kilmany;GB;V1;2645607;-2.98333;56.38333;
104;Colas;Alain;sportsperson;1943-09-16 05:30;;;Clamecy;FR;58;3024782;3.51667;47.45;
105;Colo;Zeno;sportsperson;1920-06-30 12:15;;;Casotti;IT;PT;8962910;10.75;44.1;
106;Comes;Gaston;sportsperson;1923-04-26 08:00;;;Millas;FR;66;2993876;2.7;42.7;
107;Comte;Michel;sportsperson;1943-09-27 19:00;;;Beaucaire;FR;30;3034382;4.65;43.8;
108;Consolini;Adolfo;sportsperson;1917-01-05 03:00;;;Verona;IT;VR;3164527;11;45.43333;
109;Corbel;Georges;sportsperson;1942-08-21 20:50;;;Lyon 01;FR;69;6949674;4.83333;45.76667;
110;Couecou;Didier;sportsperson;1944-07-25 17:30;;;Bordeaux;FR;33;3031582;-0.56667;44.83333;
111;Cormack;Peter;sportsperson;1946-07-17 19:40;;;West End;GB;U8;7644906;-3.21667;55.95;
112;Courtin;Paul;sportsperson;1942-03-27 23:30;;;Noyelles-sur-Mer;FR;80;2989895;1.71667;50.18333;
113;von Cramm;Gottfried;sportsperson;1909-07-07 17:45;;;Mitte;DE;0;11808389;9.73333;52.38333;
114;Cros;Jean-Claude;sportsperson;1941-06-10 16:00;;;La Grillatié;FR;81;12316469;2.15;44.05;
115;Crossalexander;;sportsperson;1919-06-16 15:30;;;Farm Cross;GB;;13265377;-4.2;55.83333;
116;Cross;Patrick;sportsperson;1943-10-12 00:05;;;Chatou;FR;78;3026033;2.15;48.88333;
117;Cruyff;Johan;sportsperson;1947-04-25 13:10;;;Weesperzijde;NL;363;7648382;4.9;52.35;
118;Dancelli;Michele;sportsperson;1942-05-08 09:00;;;Castenedolo;IT;BS;3179440;10.3;45.46667;
119;Darui;Julien;sportsperson;1916-02-16 09:00;;;Niedercorn;LU;2;2960228;5.88333;49.53333;
120;Dauga;Benoit;sportsperson;1942-05-08 22:30;;;Escalès;FR;40;12311110;-0.56667;43.75;
121;David;Wilfried;sportsperson;1946-02-22 22:00;;;Bruges;BE;VWV;2800931;3.23333;51.21667;
122;Deberbard;Daniele;sportsperson;1954-07-21 09:45;;;Mâcot-la-Plagne;FR;73;2996874;6.66667;45.55;
123;Dedieu;Paul;sportsperson;1933-05-08 23:00;;;Matabiau;FR;31;12319114;1.45;43.61667;
124;De Haan;Johannes;sportsperson;1936-12-25 14:00;;;Middelsluis;NL;1963;2750869;4.43333;51.75;
125;Delattre;Marcel;sportsperson;1939-11-17 16:00;;;Puteaux;FR;92;2985034;2.25;48.88333;
126;Deledda;Adolphe;sportsperson;1919-09-23 09:00;;;Villa Minozzo;IT;RE;3164203;10.46667;44.36667;
127;Deloffre;Jean;sportsperson;1939-10-05 10:00;;;Combles;FR;80;3024149;2.86667;50;
128;De Michele;Gabriel;sportsperson;1941-03-06 20:10;;;Saint-Etienne;FR;42;2980291;4.38333;45.43333;
129;De Nadai;Francis;sportsperson;1947-04-19 11:00;;;Limoux;FR;11;2998264;2.21667;43.05;
130;den Hartog;Arie;sportsperson;1941-04-21 08:30;;;Rotterdam;NL;599;2747891;4.48333;51.91667;
131;den Hartog;Fedor;sportsperson;1946-04-20 22:00;;;Tuindorp;NL;344;2746124;5.11667;52.1;
132;De Shoemmacker;Joseph;sportsperson;1947-10-02 02:00;;;Kazerne Dossin;BE;VAN;11524744;4.48333;51.03333;
133;De Smet;Armand;sportsperson;1931-01-23 19:00;;;Drogenboom;BE;VWV;2799116;3.43333;50.88333;
134;Devaux;Denis;sportsperson;1939-01-09 20:00;;;Revonnas;FR;1;2983801;5.33333;46.16667;
135;Devotti;Louis;sportsperson;1926-03-10 14:00;;;Cité du Tunnel;FR;54;12316849;5.96667;49.21667;
136;Diagne;Raoul;sportsperson;1910-11-10 05:00;;;La Bastide;GF;973;10372239;-54;5.33333;
137;Dierickx;André;sportsperson;1947-10-27 02:30;;;Leupegem;BE;VOV;2792488;3.61667;50.83333;
138;Di Nallo;Fleury;sportsperson;1943-04-20 14:00;;;Lyon 01;FR;69;6949674;4.83333;45.76667;
139;Dionisi;Renato;sportsperson;1947-11-21 18:00;;;Riva del Garda;IT;TN;3169272;10.83333;45.88333;
140;Djorkaeff;Jean;sportsperson;1939-10-27 09:15;;;Meyzieu;FR;69;2994048;5;45.76667;
141;Dodds;Jock;sportsperson;1915-09-07 21:10;;;Glensburgh;GB;;13268234;-3.73333;56.01667;
142;Dogliani;Jean-Pierre;sportsperson;1942-10-17 05:30;;;Madrague de la Ville;FR;13;2996839;5.36667;43.3;
143;Dolman;Evert;sportsperson;1946-02-22 18:30;;;Rotterdam;NL;599;2747891;4.48333;51.91667;
144;Dominguez;Patrice;sportsperson;1950-01-12 09:00;;;Les Horizons Bleus;DZ;;2490856;3;36.83333;
145;Dourthe;Claude;sportsperson;1948-11-20 17:00;;;Magescq;FR;40;2996818;-1.21667;43.76667;
146;Doye;André;sportsperson;1924-09-15 09:00;;;Douai;FR;59;3021000;3.08333;50.36667;
147;Drut;Guy;sportsperson;1950-12-06 04:00;;;Carvin;FR;62;3028486;2.96667;50.5;
148;Duclos;Nicole;sportsperson;1947-08-18 05:30;;;Les Romains;FR;24;12277751;0.73333;45.2;
149;Duprat;Bernard;sportsperson;1943-07-17 16:00;;;Saint-Étienne;FR;64;2980296;-1.46667;43.5;
150;Dupureur-Samson;Maryv;sportsperson;1937-05-24 04:00;;;Saint-Michel;FR;22;12319666;-2.75;48.51667;
151;Duquesnoy;Roger;sportsperson;1948-03-03 01:00;;;Cysoing;FR;59;3021935;3.21667;50.56667;
152;Durante;Adriano;sportsperson;1940-07-24 17:30;;;Treviso;IT;TV;3165201;12.25;45.66667;
153;Durr;Françoise;sportsperson;1942-12-25 07:05;;;Les Horizons Bleus;DZ;;2490856;3;36.83333;
154;Duvillard;Henri;sportsperson;1947-12-23 05:00;;;Megève;FR;74;2994768;6.61667;45.85;
155;Eigenherr;Joachim;sportsperson;1947-02-18 11:30;;;Medingen;DE;0;2872532;10.56667;53.08333;
156;Eon;Daniel;sportsperson;1939-12-20 05:30;;;Herbins;FR;44;3233614;-2.2;47.28333;
157;Esteve;Alain;sportsperson;1946-09-15 23:30;;;Les Fontanilles;FR;11;12319943;1.95;43.3;
158;Facchetti;Giacinto;sportsperson;1942-07-18 04:30;;;Il Maglio;IT;BG;8960401;9.58333;45.53333;
159;Famose;Annie;sportsperson;1944-06-16 19:00;;;Jurançon;FR;64;3012049;-0.38333;43.28333;
160;Ferguson;Bobby;sportsperson;1945-03-01 06:10;;;Ardrossan;GB;V7;2657125;-4.81667;55.65;
161;Ferrero;Bruno;sportsperson;1933-11-24 04:00;;;Fontoy;FR;57;3017829;6;49.36667;
162;Floch;Louis;sportsperson;1947-12-28 12:00;;;Keravel;FR;29;12311441;-4;48.7;
163;Fontaine;Just;sportsperson;1933-08-18 01:00;;;Salasi;MA;427;2537764;-8;31.81667;
164;Forbes;Duncan;sportsperson;1941-06-19 01:20;;;West End;GB;U8;7644906;-3.21667;55.95;
165;Fornara;Pasquale;sportsperson;1925-03-29 02:00;;;Monticelli;IT;NO;8964103;8.45;45.75;
166;Fouroux;Jacques;sportsperson;1947-07-24 07:00;;;Auch;FR;32;3036281;0.6;43.66667;
167;Frey;André;sportsperson;1919-11-05 03:00;;;Cité de Gargan;FR;57;12307774;6.05;49.25;
168;Fulgenzy;Max;sportsperson;1934-06-26 02:15;;;Monthermé;FR;8;2992495;4.73333;49.88333;
169;Gallice;René;sportsperson;1919-04-13 07:00;;;Mane;FR;4;2996234;5.76667;43.93333;
170;Gambillon;Geneviève;sportsperson;1951-06-30 01:00;;;Hudimesnil;FR;50;3013028;-1.5;48.86667;
171;Garin;Maurice;sportsperson;1871-03-03 17:00;;;Charvensod;IT;AO;3178908;7.31667;45.71667;
172;Garrigue;Roger;sportsperson;1941-05-26 01:00;;;Matabiau;FR;31;12319114;1.45;43.61667;
173;Garth;James;sportsperson;1922-05-01 13:00;;;Possil Park;GB;;13273048;-4.25;55.88333;
174;Gaspard;Pierre;sportsperson;1834-03-29 16:00;;;Les Andrieux;FR;5;3002168;6.18333;44.86667;
175;Gaul;Charly;sportsperson;1932-12-08 02:30;;;Pfaffenthal;LU;2960317;2960182;6.13333;49.61667;
176;Geesink;Antonius;sportsperson;1934-04-06 03:30;;;Tuindorp;NL;344;2746124;5.11667;52.1;
177;Germar;Manfred;sportsperson;1935-03-10 18:30;;;Humboldtkolonie;DE;53;2897732;7;50.93333;
178;Gilles;Alain;sportsperson;1945-05-05 23:20;;;Roanne;FR;42;2983362;4.08333;46.03333;
179;Gimondi;Felice;sportsperson;1942-09-29 18:10;;;Contea di Bergamo (medievale);IT;BG;12225593;9.66667;45.7;
180;Goitschel;Christiane;sportsperson;1944-06-09 18:00;;;Saint-Martin-sur-Arve;FR;74;2978222;6.63333;45.93333;
181;Maria Francisca;Gommers;sportsperson;1939-09-26 04:00;;;Kleine Meers;NL;971;2752724;5.75;50.96667;
182;Gondet;Philippe;sportsperson;1942-05-17 07:00;;;Blois;FR;41;3032213;1.33333;47.6;
183;Gonzales;Joseph;sportsperson;1941-08-06 10:00;;;Narbonne;FR;11;2990919;3;43.18333;
184;Goujon;Yvon;sportsperson;1937-01-21 02:30;;;Cité du Priatec;FR;56;3232441;-3.35;47.75;
185;Gracet;Jean;sportsperson;1937-07-10 01:00;;;Fontchristianne;FR;5;12319482;6.65;44.88333;
186;Gray;Eddie;sportsperson;1948-01-17 16:20;;;Possil Park;GB;;13273048;-4.25;55.88333;
187;Greig;John;sportsperson;1942-09-11 05:15;;;West End;GB;U8;7644906;-3.21667;55.95;
188;Gress;Gilbert;sportsperson;1941-12-17 00:30;;;Strasbourg;FR;67;2973783;7.75;48.58333;
189;Grim;Joe;sportsperson;1881-03-24 10:00;;;Zona P.I.P. Località Folloni;IT;AV;8984875;15.03333;40.83333;
190;Gros;Piero;sportsperson;1954-10-30 15:05;;;Abbazia;IT;TO;3163828;6.83333;45.03333;
191;Guérin;Henri;sportsperson;1921-08-27 07:00;;;Mondant;FR;51;12318282;3.56667;48.86667;
192;Guerra;Pietro;sportsperson;1943-06-28 09:50;;;San Pietro di Morubio;IT;VR;6535577;11.23333;45.25;
193;Gugliermina;Giovan;sportsperson;1874-08-03 05:00;;;Borgosesia;IT;VC;3181749;8.26667;45.71667;
194;Gugliermina;Giuseppe;sportsperson;1872-10-28 10:30;;;Borgosesia;IT;VC;3181749;8.26667;45.71667;
195;Guy;André;sportsperson;1941-03-03 13:50;;;Bourg-en-Bresse;FR;1;3031009;5.21667;46.2;
196;Halimi;Alphonse;sportsperson;1932-02-18 01:00;;;Sidi Mabrouk;DZ;;2480279;6.66667;36.36667;
197;Harper;Joe;sportsperson;1948-01-11 23:10;;;Charing Cross;GB;;13265344;-4.75;55.95;
198;Hartford;Asa;sportsperson;1950-10-24 00:40;;;Possil Park;GB;;13273048;-4.25;55.88333;
199;Hary;Armin;sportsperson;1937-03-22 10:00;;;Maybach;DE;0;2872651;7.06667;49.33333;
200;Hassler;Nicole;sportsperson;1941-01-06 05:30;;;Les Moussoux;FR;74;12318596;6.86667;45.91667;
201;Hausser;Gérard;sportsperson;1941-10-28 10:40;;;Strasbourg;FR;67;2973783;7.75;48.58333;
202;Hein;Kael;sportsperson;1908-06-11 03:15;;;Hamburg-Altstadt;DE;0;2956829;10;53.55;
203;Heinnige;Gerhard;sportsperson;1940-09-23 21:00;;;Südweststadt;DE;82;8643498;8.4;49;
204;Herbet;Yves;sportsperson;1945-08-17 09:00;;;Villers-Cotterêts;FR;2;2968405;3.1;49.25;
205;Herbin;Robert;sportsperson;1939-03-30 05:35;;;Paris 02 Ancien - Quartier Palais-Royal;FR;75;9844889;2.33333;48.86667;
206;Herrero;André;sportsperson;1938-01-28 02:00;;;Puisserguier;FR;34;2985096;3.05;43.36667;
207;Herzog;Maurice;sportsperson;1919-01-15 03:30;;;Lyon 01;FR;69;6949674;4.83333;45.76667;
208;Holdorf;Willi;sportsperson;1940-02-17 11:00;;;Glückstadt;DE;0;2919763;9.43333;53.78333;
209;Holton;Jim;sportsperson;1951-04-11 20:20;;;Boghead;GB;W5;12262732;-3.91667;55.65;
210;Hon;Louis;sportsperson;1924-09-14 14:00;;;Couches;FR;71;3023371;4.58333;46.86667;
211;Huck;Jean-Noël;sportsperson;1948-12-20 11:00;;;Mutzig;FR;67;2991086;7.45;48.55;
212;Barclay;Joyce;sportsperson;1944-07-22 10:00;;;Lochee;GB;;13268895;-3;56.46667;
213;Huot;Valentin;sportsperson;1929-05-01 01:30;;;Vergt;FR;24;2969899;0.73333;45.03333;
214;Hutchison;Tommy;sportsperson;1947-09-22 11:00;;;Crossford;GB;V1;2651878;-3.48333;56.06667;
215;Huysmans;Joseph;sportsperson;1941-12-18 07:00;;;Laarheide;BE;VBR;2793801;4.31667;50.76667;
216;Ickx;Jacques;sportsperson;1945-01-01 20:15;;;Louise area;BE;BRU;11395785;4.35;50.83333;
217;Iracabal;Jean;sportsperson;1941-07-06 12:00;;;Ustaritz;FR;64;2971286;-1.45;43.4;
218;Israel;Rinus;sportsperson;1942-03-19 12:40;;;Weesperzijde;NL;363;7648382;4.9;52.35;
219;Jacquet;Aimé;sportsperson;1941-11-27 00:15;;;Sail-sous-Couzan;FR;42;2981954;3.96667;45.71667;
220;Janssen;Jan;sportsperson;1940-05-19 09:30;;;Weesperzijde;NL;363;7648382;4.9;52.35;
221;Jasseron;Lucien;sportsperson;1913-12-29 01:00;;;Courbet;DZ;;2501133;-0.63333;35.75;
222;Jauffret;François;sportsperson;1942-02-09 01:00;;;Bordeaux;FR;33;3031582;-0.56667;44.83333;
223;Jimenez;Julio;sportsperson;1934-10-28 22:00;;;Ávila;ES;AV;3129136;-4.7;40.65;
224;Josselin;Jean;sportsperson;1940-01-06 18:15;;;Roman Catholic Archidiocese of Besançon;FR;25;12076724;6.03333;47.23333;
225;Karstens;Gerben;sportsperson;1942-01-14 00:25;;;Voorburg;NL;1916;2745321;4.36667;52.06667;
226;Kauffman;Marcel;sportsperson;1910-05-22 11:30;;;Drouot;FR;68;12315804;7.35;47.75;
227;Kelly;Eddie;sportsperson;1951-02-07 22:55;;;Possil Park;GB;;13273048;-4.25;55.88333;
228;Kemper;Franz-Joseph;sportsperson;1945-09-30 10:30;;;Staden;DE;55;2829862;7.61667;52.38333;
229;Koczur;Ferenc;sportsperson;1930-09-02 23:00;;;Schuttersveld;NL;899;2747416;5.98333;50.95;
230;Kozakiewicz;Casimir;sportsperson;1935-01-27 23:30;;;Lens;FR;62;3003093;2.83333;50.43333;
231;Krawczyk;Richard;sportsperson;1947-05-24 01:00;;;Éleu-dit-Leauwette;FR;62;3020300;2.8;50.41667;
232;Kuiper;Hennie;sportsperson;1949-02-03 11:15;;;Denekamp;NL;1774;2757232;7;52.38333;
233;Lachenal;Louis;sportsperson;1921-07-17 11:30;;;Les Balmettes;FR;74;12318629;6.11667;45.9;
235;Lafont;Maurice;sportsperson;1937-09-13 16:00;;;Villeneuve-Saint-Georges;FR;94;2968529;2.45;48.73333;
236;Laforgue;Britt;sportsperson;1948-11-05 14:55;;;Cazarilh-Laspènes;FR;31;3028075;0.58333;42.8;
237;Laforgue;Ingrid;sportsperson;1948-11-05 14:45;;;Cazarilh-Laspènes;FR;31;3028075;0.58333;42.8;
238;Lammers;Georg;sportsperson;1905-04-14 23:00;;;Sinsum;DE;0;2831866;8.35;53.58333;
