"NUM","NAME","PRO","DATE","PLACE","COU","COD","LON","LAT",1955
1561,"Gauquelin-A1-1561","FOO","1924-06-30 17:00:00-01:00","CARPI","IT","MO","11.25","44.6",
1562,"Nesti Fulvio","FOO","1925-06-08 18:00:00-01:00","LASTRA A SIGNA","IT","FI","11.5","43.7",
1563,"Olivieri Aldo","FOO","1910-10-02 11:30:00-01:00","VERONA","IT","VR",11,"45.4",
1564,"Olivieri Rinaldo","FOO","1935-01-01 15:00:00-01:00","S. BENEDETTO DE","IT","AP","13.75",43,
1565,"Olmi Renato","FOO","1914-07-12 10:00:00-01:00","TREZZO SULL'ADD","IT","MI","9.25","45.5",
1566,"Oppezzo Guglielmo","FOO","1926-06-11 11:30:00-01:00","BALZOLA","IT","AL",9,45,
1567,"Ossola Franco","FOO","1921-08-23 00:25:00-01:00","VARESE","IT","VA",9,"45.8",
1568,"Pagotto Mario","FOO","1911-12-14 21:00:00-01:00","FONTANAFREDDA","IT","UD","13.5",46,
1569,"Pandolfini Egisto","FOO","1926-02-17 08:00:00-01:00","LASTRA A SIGNA","IT","FI","11.5","43.7",
1570,"Parola Carlo","FOO","1921-09-20 15:45:00-01:00","TORINO","IT","TO",8,45,
1571,"Passarin Roberto","FOO","1934-07-07 16:00:00-01:00","NOVARA","IT","NO",9,"45.5",
1572,"Pavinato Mirko","FOO","1934-06-20 08:00:00-01:00","VICENZA","IT","VI",12,"45.5",
1573,"Pedroni Franco","FOO","1926-09-13 21:10:00-01:00","SOMMA LOMBARDO","IT","VA",9,"45.8",
1574,"Perazzolo Mario","FOO","1911-06-07 03:00:00-01:00","PADOVA","IT","PD","12.25","45.4",
1575,"Gauquelin-A1-1575","FOO","1918-06-10 03:00:00-01:00","VERONA","IT","VR",11,"45.4",
1576,"Peruchetti Giuseppe","FOO","1907-10-30 20:00:00-01:00","GARDONE VAL TRO","IT","BS",11,"45.5",
1577,"Perversi Luigi","FOO","1906-05-22 11:30:00-01:00","S. CRISTINA E B","IT","PV",9,"45.2",
1578,"Piacentini Sergio","FOO","1920-07-21 02:00:00-01:00","PIOMBINO","IT","LI","9.5","43.6",
1579,"Piccinini Alberto","FOO","1923-01-25 04:00:00-01:00","ROMA","IT","RM","12.5","41.9",
1580,"Piola Silvio","FOO","1913-09-22 22:30:00-01:00","ROBBIO","IT","PV",9,"45.2",
1581,"Pivatelli Gino","FOO","1933-03-27 10:30:00-01:00","SANGUINETTO","IT","VR",11,"45.4",
1582,"Gauquelin-A1-1582","FOO","1931-04-26 21:00:00-01:00","OSTIANO","IT","CR",11,"45.2",
1583,"Gauquelin-A1-1583","FOO","1929-12-29 08:20:00-01:00","S. MARTINO BUON","IT","VR",11,"45.4",
1584,"Prato Filippo","FOO","1910-02-11 12:00:00-01:00","TORINO","IT","TO",8,45,
1585,"Puccinelli Aldo","FOO","1920-12-25 19:30:00-01:00","BIENTINA","IT","PI","10.5","43.7",
1586,"Ramella Luciano","FOO","1914-04-10 03:00:00-01:00","POLLONE","IT","VC","8.5","45.4",
1587,"Rava Pietro","FOO","1916-01-21 18:00:00-01:00","CASSINE","IT","AL",9,45,
1588,"Reguzzoni Carlo","FOO","1908-06-05 01:00:00-01:00","BUSTO ARSIZIO","IT","VA",9,"45.8",
1589,"Gauquelin-A1-1589","FOO","1917-11-17 17:00:00-01:00","VERONA","IT","VR",11,"45.4",
1590,"Gauquelin-A1-1590","FOO","1929-06-15 23:00:00-01:00","VENEZIA","IT","VE","12.5","45.5",
1591,"Riccardi Giovanni","FOO","1911-12-10 17:00:00-01:00","CASTELCERIOLO","IT","AL",9,45,
1592,"Ricci Secondo","FOO","1913-10-08 10:30:00-01:00","BAGNACAVALLO","IT","RA","12.25","44.4",
1593,"Ronzon Pierluigi","FOO","1934-03-07 20:50:00-01:00","GEMONA DEL FRIU","IT","UD","13.5",46,
1594,"Rosa Franco","FOO","1932-05-01 09:35:00-01:00","GARLASCO","IT","PV",9,"45.2",
1595,"Rosetta Francesco","FOO","1922-10-09 03:00:00-01:00","BIANDRATE","IT","NO",9,"45.5",
1596,"Rosetta Virgilio","FOO","1902-02-24 07:30:00-01:00","VERCELLI","IT","VC","8.5","45.4",
1597,"Rota Batista","FOO","1932-07-18 20:00:00-01:00","BERGAMO","IT","BG","9.75","45.6",
1598,"Gauquelin-A1-1598","FOO","1918-06-10 19:10:00-01:00","BORGO VAL DI TA","IT","PR","10.75","44.8",
1599,"Savioni Marco","FOO","1931-02-23 04:20:00-01:00","MILANO","IT","MI","9.25","45.5",
1600,"Scarabello Luigi","FOO","1916-06-17 07:00:00-01:00","AULLA","IT","MS","10.5",44,
1601,"Segato Armando","FOO","1930-05-03 16:30:00-01:00","VICENZA","IT","VI",12,"45.5",
1602,"Sentimenti Lucidio","FOO","1920-07-01 22:00:00-01:00","BOMPORTO","IT","MO","11.25","44.6",
