profession,professionLabel
http://www.wikidata.org/entity/Q10726454,Q10726454
http://www.wikidata.org/entity/Q10728547,Q10728547
http://www.wikidata.org/entity/Q10728636,Q10728636
http://www.wikidata.org/entity/Q11006100,Q11006100
http://www.wikidata.org/entity/Q1109514,Q1109514
http://www.wikidata.org/entity/Q11308320,Q11308320
http://www.wikidata.org/entity/Q11328982,Q11328982
http://www.wikidata.org/entity/Q11409488,Q11409488
http://www.wikidata.org/entity/Q11446504,Q11446504
http://www.wikidata.org/entity/Q11456302,Q11456302
http://www.wikidata.org/entity/Q11486203,Q11486203
http://www.wikidata.org/entity/Q11496906,Q11496906
http://www.wikidata.org/entity/Q11497343,Q11497343
http://www.wikidata.org/entity/Q1149838,Q1149838
http://www.wikidata.org/entity/Q11522634,Q11522634
http://www.wikidata.org/entity/Q11539046,Q11539046
http://www.wikidata.org/entity/Q1155968,Q1155968
http://www.wikidata.org/entity/Q11590798,Q11590798
http://www.wikidata.org/entity/Q11599058,Q11599058
http://www.wikidata.org/entity/Q11603118,Q11603118
http://www.wikidata.org/entity/Q11604761,Q11604761
http://www.wikidata.org/entity/Q11619971,Q11619971
http://www.wikidata.org/entity/Q11648094,Q11648094
http://www.wikidata.org/entity/Q11649873,Q11649873
http://www.wikidata.org/entity/Q11672679,Q11672679
http://www.wikidata.org/entity/Q11674864,Q11674864
http://www.wikidata.org/entity/Q11675482,Q11675482
http://www.wikidata.org/entity/Q11675856,Q11675856
http://www.wikidata.org/entity/Q11684607,Q11684607
http://www.wikidata.org/entity/Q11686206,Q11686206
http://www.wikidata.org/entity/Q11687980,Q11687980
http://www.wikidata.org/entity/Q11689836,Q11689836
http://www.wikidata.org/entity/Q11708279,Q11708279
http://www.wikidata.org/entity/Q11712661,Q11712661
http://www.wikidata.org/entity/Q11713290,Q11713290
http://www.wikidata.org/entity/Q11722790,Q11722790
http://www.wikidata.org/entity/Q1172551,Q1172551
http://www.wikidata.org/entity/Q1172566,Q1172566
http://www.wikidata.org/entity/Q11733857,Q11733857
http://www.wikidata.org/entity/Q11736720,Q11736720
http://www.wikidata.org/entity/Q11737566,Q11737566
http://www.wikidata.org/entity/Q11739435,Q11739435
http://www.wikidata.org/entity/Q11739916,Q11739916
http://www.wikidata.org/entity/Q11742448,Q11742448
http://www.wikidata.org/entity/Q11743095,Q11743095
http://www.wikidata.org/entity/Q11744238,Q11744238
http://www.wikidata.org/entity/Q11751155,Q11751155
http://www.wikidata.org/entity/Q11766533,Q11766533
http://www.wikidata.org/entity/Q11766535,Q11766535
http://www.wikidata.org/entity/Q11786550,Q11786550
http://www.wikidata.org/entity/Q11787407,Q11787407
http://www.wikidata.org/entity/Q11795614,Q11795614
http://www.wikidata.org/entity/Q11796190,Q11796190
http://www.wikidata.org/entity/Q11798627,Q11798627
http://www.wikidata.org/entity/Q11800515,Q11800515
