137M Credali, Adelvaldo;1888;02;01;05;30;-0,83;Varsi PR;44,8;-10,75
138M Cresti, Renato;1911;09;29;08;00;-1;Sesto Fiorentin FI;43,7;-11,5
139M Cristaddi, Raimondo;1912;10;11;07;00;-1;Acireale CT;37,5;-15
140M Croce, Benedetto;1866;02;25;14;00;LMT;Pescasseroli AQ;42,4;-13,5
143M D'Albissola, Tullio;1899;12;02;22;30;-1;Albisola Marina SV;44,3;-8,75
144M D'Aloisio da vasto, Carlo;1892;04;13;02;30;-0,83;Vasto CH;42,3;-14,25
145M D'Aloisio, Nicola;1883;12;17;16;30;-0,83;Vasto CH;42,3;-14,25
147M D'Annunzio, Gabriele;1863;03;12;08;00;LMT;Pescara PE;42,4;-14,5
148M D'Aronco, Gianfranco;1920;10;19;02;00;-1;Udine UD;46;-13,5
149M D'Orsi, Libero;1888;03;30;16;15;-0,83;Castellamare NA;40,9;-14
150M Dall'Oglio, Enrico;1900;07;25;15;30;-1;Imola BO;44,5;-11
151M Dazzi, Manlio;1891;04;17;04;30;-0,83;Parma PR;44,8;-10,75
152M De Biase, Corrado;1886;01;27;08;30;-0,83;Troia FG;41,6;-15,5
153M De Carlo, Salvatore;1913;11;20;08;15;-1;Livorno LI;43,6;-9,5
154M De Giovanni-Bovecchi, Paolo;1876;10;31;13;45;-0,83;Firenze FI;43,7;-11,5
155M Del Beccaro, Felice;1909;07;18;10;38;-1;Lucca LU;43,7;-11
156M Delcroix, Carlo;1896;08;22;01;00;-1;Firenze FI;43,7;-11,5
157M Delfini, Antonio;1907;06;10;11;44;-1;Modena MO;44,6;-11,25
158M De Libero, Libero;1903;09;11;01;10;-1;Fondi LT;41,5;-13
159M Della Massea, Angelo;1893;12;17;08;00;-1;Baschi TR;42,5;-13
160M Della Porta, Arturo Francesco;1892;06;29;17;00;-0,83;Milano MI;45,5;-9,25
161M Del Vita, Alessandro;1885;01;15;22;00;-0,83;Arezzo AR;43,5;-12
162M De Maria, Federico;1883;07;21;13;30;-0,88;Palermo PA;38;-13,5
164M De Marsico, Alfredo;1888;05;29;08;20;-0,83;Sala Consilina SA;40,7;-15,25
165M De Pisis, Filippo;1896;05;11;11;00;-1;Ferrara FE;44,7;-12,5
166M De Rossi Dell'Arno, Giulio;1884;07;25;17;00;-0,83;Pisa PI;43,7;-10,5
167M De Santis, Luigi;1912;11;20;23;30;-1;Lecce LE;40,4;-18,75
168M Descalzo, Giovanni;1902;06;01;15;30;-1;Sestri Levante GE;44,4;-9
169M De Stefani, Alessandro;1891;01;02;08;30;-0,83;Cividale del Fr UD;46;-13,5
171M Dèttore, Ugo;1905;03;04;17;40;-1;Bologna BO;44,5;-11
173M Di Matteo, Rodolfo;1899;01;01;09;00;-1;Catania CT;37,5;-15
175M Donati, Umberto;1884;11;22;07;00;-0,83;Gualdo Tadino PG;43;-13
177M Eredia, Giacinto;1879;08;26;05;15;-0,88;Catania CT;37,5;-15
178M Ermacora, Chine;1894;08;30;11;00;-1;Tarcento UD;46;-13,5
180M Fabbri, Casimiro;1907;03;06;05;15;-1;Ferrara FE;44,7;-12,5
181M Fabietti, Alfredo;1893;06;19;19;10;-0,83;Cetona SI;43,3;-11,75
182M Fabietti, Ettore;1876;12;20;18;15;-0,83;Cetona SI;43,3;-11,75
183M Faleschini, Antonio;1897;11;11;11;00;-1;Osoppo UD;46;-13,5
184M Falqui, Enrico;1901;10;12;13;30;-1;Frattamaggiore NA;40,9;-14
185M Fanelli, Giuseppe Attilio;1893;08;31;18;30;-0,83;Giovinazzo BA;41,2;-17
186M Fantucci, Antonio Filiberto;1900;10;26;02;00;-1;Dovadola FO;44,2;-12,5
187M Fara, Giulio;1880;12;03;04;00;-0,6;Cagliari CA;39,4;-9
188M Fatini, Giuseppe;1884;01;05;01;00;-0,83;Piancastagnaio SI;43,3;-11,75
189M Federici, Mario;1900;06;03;06;30;-1;L'Aquila AQ;42,4;-13,5
191M Fiumi, Lionello;1894;04;12;22;45;-1;Rovereto TN;46;-12
193M Flora, Francesco;1891;10;27;06;00;-0,83;Colle Sannita BN;41,3;-15
194M Foa, Vittorio;1910;09;18;23;30;-1;Torino TO;45;-8
195M Folicaldi, Alceo;1900;02;07;12;00;-1;Lugo RA;44,4;-12,25
196M Foresi, Sandro;1878;04;18;15;00;-0,83;Portoferraio LI;43,6;-9,5
197M Formigari, Francesco;1893;03;25;06;20;-0,83;Isernia CB;41,6;-14,75
198M Fortini, Arnaldo;1889;12;12;06;15;-0,83;Assisi PG;43;-13
199M Forzano, Giovacchino;1883;11;19;11;00;-0,83;Borgo s. Lorenzo FI;43,7;-11,5
200M Franchi, Raffaello;1899;05;20;05;00;-1;Firenze FI;43,7;-11,5
201M Francolini, Bruno;1903;04;23;21;00;-1;Firenze FI;43,7;-11,5
204M Frattini, Angelo;1896;10;08;23;30;-1;Milano MI;45,5;-9,25
205M Fumarola diP., Angelo A.;1911;09;25;02;00;-1;Lecce LE;40,4;-18,75
206M Gabrielli, Aldo;1898;04;21;00;30;-1;Ripatransone AP;43;-13,75
207M Gadda, conti Piero;1902;02;13;12;25;-1;Milano MI;45,5;-9,25
210M Galeazzi, Antonio Galeazzo;1891;10;30;08;00;-0,83;Nocera Umbra PG;43;-13
213M Gargiulo, Silvio Salvatore;1868;10;01;19;00;-0,83;Sorrento NA;40,9;-14
214M Gariazzo, Piero Antonio;1879;01;07;22;00;-0,83;Torino TO;45;-8
215M Gasparini, Mario;1917;03;25;02;00;-1;Savona SV;44,3;-8,75
216M Gastaldi, Mario;1903;08;28;18;50;-1;Bedizzole di Br BS;45,5;-11
217M Gatteschi, Roberto Pia;1872;05;10;00;00;-0,83;Firenze FI;43,7;-11,5
218M Gatti, Angelo;1875;01;09;23;00;-0,83;Capua CE;41,1;-14,5
219M Gavi, Valentine;1893;05;16;14;30;-0,83;Geneva GE;44,4;-9
220M Genco, Bernardo Attilio;1887;03;14;09;40;-0,88;Roccapalumba PA;38;-13,5
